Result: _result
Table: keys: [_start, _stop, _field, _measurement, code, owner]
                   _start:time                      _stop:time           _field:string     _measurement:string             code:string            owner:string                      _time:time                  _value:float
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T16:29:18.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T17:29:18.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T18:29:18.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T19:29:18.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T20:29:19.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T21:29:19.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T22:29:18.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T23:29:19.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T00:29:19.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T01:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T02:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T03:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T04:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T05:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T06:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T07:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T08:29:20.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-07T09:29:20.000000000Z                     16.580812
