#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-12T08:31:39Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T09:31:39Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T10:31:40Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T11:31:39Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T12:31:39Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T13:31:41Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T14:31:41Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T15:31:41Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T16:31:41Z,166,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T17:31:41Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T18:31:41Z,131,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T19:31:41Z,133,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T21:31:42Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T22:31:42Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T23:31:41Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T00:31:42Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T01:31:42Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T02:31:41Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T03:31:42Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T04:31:42Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T06:31:42Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T07:31:43Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T08:31:43Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T09:31:42Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T10:31:44Z,335,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T12:31:44Z,333,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T13:31:45Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T14:31:44Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-13T15:31:45Z,300,value,co_8h,BBMLA,SMBrno
